       fs     200K     300K    400K     500K
   20550 0.07458 0.13605 0.31067 0.86403
   20600 0.07461  0.1361 0.31087 0.86466
   20650 0.07464 0.13616 0.31108 0.86529
   20700 0.07467 0.13622 0.31128 0.86592
   20750 0.07469 0.13627 0.31149 0.86654
   20800 0.07472 0.13633 0.31169 0.86717
   20850 0.07475 0.13638 0.31189  0.8678
   20900 0.07478 0.13644  0.3121 0.86843
   20950  0.0748 0.13649  0.3123 0.86905
   21000 0.07483 0.13655  0.3125 0.86968
   21050 0.07486  0.1366 0.31271  0.8703
   21100 0.07489 0.13666 0.31291 0.87093
   21150 0.07492 0.13671 0.31311 0.87155
   21200 0.07494 0.13677 0.31331 0.87217
   21250 0.07497 0.13682 0.31352  0.8728
   21300   0.075 0.13688 0.31372 0.87342
   21350 0.07503 0.13693 0.31392 0.87404
   21400 0.07505 0.13699 0.31412 0.87466
   21450 0.07508 0.13704 0.31433 0.87528
   21500 0.07511 0.13709 0.31453  0.8759
   21550 0.07514 0.13715 0.31473 0.87652
   21600 0.07517  0.1372 0.31493 0.87714
   21650 0.07519 0.13726 0.31513 0.87775
   21700 0.07522 0.13731 0.31533 0.87837
   21750 0.07525 0.13737 0.31553 0.87899
   21800 0.07528 0.13742 0.31573  0.8796
   21850  0.0753 0.13747 0.31594 0.88022
   21900 0.07533 0.13753 0.31614 0.88083
   21950 0.07536 0.13758 0.31634 0.88145
   22000 0.07539 0.13763 0.31654 0.88206
   22050 0.07541 0.13769 0.31674 0.88267
   22100 0.07544 0.13774 0.31694 0.88329
   22150 0.07547 0.13779 0.31714  0.8839
   22200  0.0755 0.13785 0.31734 0.88451
   22250 0.07552  0.1379 0.31754 0.88512
   22300 0.07555 0.13795 0.31774 0.88573
   22350 0.07558 0.13801 0.31794 0.88634
   22400 0.07561 0.13806 0.31813 0.88695
   22450 0.07563 0.13811 0.31833 0.88756
   22500 0.07566 0.13816 0.31853 0.88816
   22550 0.07569 0.13822 0.31873 0.88877
   22600 0.07572 0.13827 0.31893 0.88938
   22650 0.07574 0.13832 0.31913 0.88998
   22700 0.07577 0.13837 0.31933 0.89059
   22750  0.0758 0.13843 0.31953 0.89119
   22800 0.07583 0.13848 0.31972  0.8918
   22850 0.07585 0.13853 0.31992  0.8924
   22900 0.07588 0.13858 0.32012   0.893
   22950 0.07591 0.13863 0.32032 0.89361
   23000 0.07593 0.13869 0.32052 0.89421
   23050 0.07596 0.13874 0.32071 0.89481
   23100 0.07599 0.13879 0.32091 0.89541
   23150 0.07602 0.13884 0.32111 0.89601
   23200 0.07604 0.13889  0.3213 0.89661
   23250 0.07607 0.13894  0.3215 0.89721
   23300  0.0761   0.139  0.3217 0.89781
   23350 0.07613 0.13905 0.32189  0.8984
   23400 0.07615  0.1391 0.32209   0.899
   23450 0.07618 0.13915 0.32229  0.8996
   23500 0.07621  0.1392 0.32248 0.90019
   23550 0.07623 0.13925 0.32268 0.90079
   23600 0.07626  0.1393 0.32288 0.90138
