fs      200K    300K    400K    500K
14000   0.04874 0.0948  0.15286 0.22568
14050   0.04874 0.09483 0.15289 0.22565
14100   0.04874 0.09485 0.15291 0.22562
14150   0.04874 0.09487 0.15293 0.22559
14200   0.04874 0.0949  0.15296 0.22556
14250   0.04875 0.09492 0.15298 0.22553
14300   0.04875 0.09495 0.15301 0.2255
14350   0.04875 0.09497 0.15303 0.22546
14400   0.04875 0.09499 0.15305 0.22543
14450   0.04875 0.09502 0.15308 0.2254
14500   0.04875 0.09504 0.1531  0.22537
14550   0.04875 0.09507 0.15313 0.22534
14600   0.04875 0.09509 0.15315 0.22531
14650   0.04876 0.09511 0.15317 0.22529
14700   0.04876 0.09514 0.1532  0.22526
14750   0.04876 0.09516 0.15322 0.22523
14800   0.04876 0.09518 0.15324 0.2252
14850   0.04876 0.09521 0.15327 0.22517
14900   0.04876 0.09523 0.15329 0.22514
14950   0.04877 0.09526 0.15331 0.22511
15000   0.04877 0.09528 0.15334 0.22508
15050   0.04877 0.0953  0.15336 0.22506
15100   0.04877 0.09533 0.15338 0.22503
15150   0.04877 0.09535 0.15341 0.225
15200   0.04877 0.09537 0.15343 0.22497
15250   0.04877 0.0954  0.15345 0.22494
15300   0.04878 0.09542 0.15347 0.22492
15350   0.04878 0.09545 0.1535  0.22489
15400   0.04878 0.09547 0.15352 0.22486
15450   0.04878 0.09549 0.15354 0.22484
15500   0.04878 0.09552 0.15357 0.22481
15550   0.04878 0.09554 0.15359 0.22478
15600   0.04879 0.09556 0.15361 0.22476
15650   0.04879 0.09559 0.15363 0.22473
15700   0.04879 0.09561 0.15366 0.2247
15750   0.04879 0.09564 0.15368 0.22468
15800   0.04879 0.09566 0.1537  0.22465
15850   0.0488  0.09568 0.15372 0.22463
15900   0.0488  0.09571 0.15375 0.2246
15950   0.0488  0.09573 0.15377 0.22457
16000   0.0488  0.09576 0.15379 0.22455
16050   0.0488  0.09578 0.15381 0.22452
16100   0.0488  0.0958  0.15384 0.2245
16150   0.04881 0.09583 0.15386 0.22448
16200   0.04881 0.09585 0.15388 0.22445
16250   0.04881 0.09587 0.1539  0.22443
16300   0.04881 0.0959  0.15393 0.2244
16350   0.04881 0.09592 0.15395 0.22438
16400   0.04882 0.09595 0.15397 0.22435
16450   0.04882 0.09597 0.15399 0.22433
16500   0.04882 0.09599 0.15401 0.22431
