fs        200K    300K    400K    500K
27600   0.04148 0.07332 0.09309 0.15701
27650   0.04148 0.07334 0.09311 0.15706
27700   0.04149 0.07336 0.09313 0.15712
27750   0.04149 0.07338 0.09315 0.15717
27800   0.0415  0.0734  0.09316 0.15723
27850   0.04151 0.07341 0.09318 0.15728
27900   0.04151 0.07343 0.0932  0.15734
27950   0.04152 0.07345 0.09322 0.1574
28000   0.04152 0.07347 0.09324 0.15745
28050   0.04153 0.07349 0.09325 0.15751
28100   0.04154 0.07351 0.09327 0.15756
28150   0.04154 0.07353 0.09329 0.15762
28200   0.04155 0.07355 0.09331 0.15767
28250   0.04155 0.07357 0.09333 0.15773
28300   0.04156 0.07359 0.09334 0.15778
28350   0.04157 0.0736  0.09336 0.15784
28400   0.04157 0.07362 0.09338 0.1579
28450   0.04158 0.07364 0.0934  0.15795
28500   0.04158 0.07366 0.09342 0.15801
28550   0.04159 0.07368 0.09343 0.15806
28600   0.0416  0.0737  0.09345 0.15812
28650   0.0416  0.07372 0.09347 0.15818
28700   0.04161 0.07374 0.09349 0.15823
28750   0.04161 0.07375 0.09351 0.15829
28800   0.04162 0.07377 0.09353 0.15834
28850   0.04163 0.07379 0.09354 0.1584
28900   0.04163 0.07381 0.09356 0.15846
28950   0.04164 0.07383 0.09358 0.15851
29000   0.04164 0.07385 0.0936  0.15857
29050   0.04165 0.07386 0.09362 0.15863
29100   0.04166 0.07388 0.09364 0.15868
29150   0.04166 0.0739  0.09365 0.15874
29200   0.04167 0.07392 0.09367 0.15879
29250   0.04167 0.07394 0.09369 0.15885
29300   0.04168 0.07395 0.09371 0.15891
29350   0.04168 0.07397 0.09373 0.15896
29400   0.04169 0.07399 0.09375 0.15902
29450   0.0417  0.07401 0.09376 0.15908
29500   0.0417  0.07403 0.09378 0.15913
29550   0.04171 0.07404 0.0938  0.15919
29600   0.04171 0.07406 0.09382 0.15925
29650   0.04172 0.07408 0.09384 0.15931
29700   0.04173 0.0741  0.09386 0.15936
29750   0.04173 0.07411 0.09387 0.15942
29800   0.04174 0.07413 0.09389 0.15948
29850   0.04174 0.07415 0.09391 0.15953
29900   0.04175 0.07417 0.09393 0.15959
29950   0.04176 0.07418 0.09395 0.15965
30000   0.04176 0.0742  0.09397 0.1597
30050   0.04177 0.07422 0.09399 0.15976
30100   0.04177 0.07424 0.094   0.15982
30150   0.04178 0.07425 0.09402 0.15988
30200   0.04179 0.07427 0.09404 0.15993
30250   0.04179 0.07429 0.09406 0.15999
30300   0.0418  0.0743  0.09408 0.16005
30350   0.0418  0.07432 0.0941  0.16011
