fs      200K    300K    400K    500K
18450   0.03765 0.05534 0.08453 0.11063
18500   0.03765 0.05535 0.08457 0.11067
18550   0.03765 0.05536 0.08462 0.11071
18600   0.03765 0.05537 0.08466 0.11076
18650   0.03765 0.05538 0.08471 0.1108
18700   0.03765 0.05539 0.08475 0.11084
18750   0.03766 0.05539 0.0848  0.11088
18800   0.03766 0.0554  0.08484 0.11093
18850   0.03766 0.05541 0.08489 0.11097
18900   0.03766 0.05542 0.08493 0.11101
18950   0.03766 0.05543 0.08497 0.11105
19000   0.03766 0.05544 0.08502 0.1111
19050   0.03766 0.05545 0.08506 0.11114
19100   0.03767 0.05546 0.08511 0.11118
19150   0.03767 0.05546 0.08515 0.11122
19200   0.03767 0.05547 0.0852  0.11127
19250   0.03767 0.05548 0.08524 0.11131
19300   0.03767 0.05549 0.08529 0.11135
19350   0.03767 0.0555  0.08533 0.11139
19400   0.03767 0.05551 0.08537 0.11144
19450   0.03768 0.05552 0.08542 0.11148
19500   0.03768 0.05553 0.08546 0.11152
19550   0.03768 0.05553 0.08551 0.11156
19600   0.03768 0.05554 0.08555 0.11161
19650   0.03768 0.05555 0.08559 0.11165
19700   0.03768 0.05556 0.08564 0.11169
19750   0.03768 0.05557 0.08568 0.11174
19800   0.03769 0.05558 0.08572 0.11178
19850   0.03769 0.05559 0.08577 0.11182
19900   0.03769 0.0556  0.08581 0.11186
19950   0.03769 0.0556  0.08586 0.11191
20000   0.03769 0.05561 0.0859  0.11195
20050   0.03769 0.05562 0.08594 0.11199
20100   0.03769 0.05563 0.08599 0.11204
20150   0.03769 0.05564 0.08603 0.11208
20200   0.0377  0.05565 0.08607 0.11212
20250   0.0377  0.05566 0.08612 0.11216
20300   0.0377  0.05567 0.08616 0.11221
20350   0.0377  0.05567 0.0862  0.11225
20400   0.0377  0.05568 0.08624 0.11229
20450   0.0377  0.05569 0.08629 0.11234
20500   0.0377  0.0557  0.08633 0.11238
20550   0.03771 0.05571 0.08637 0.11242
20600   0.03771 0.05572 0.08642 0.11246
20650   0.03771 0.05573 0.08646 0.11251
20700   0.03771 0.05573 0.0865  0.11255
20750   0.03771 0.05574 0.08654 0.11259
20800   0.03771 0.05575 0.08659 0.11264
20850   0.03771 0.05576 0.08663 0.11268
20900   0.03772 0.05577 0.08667 0.11272
20950   0.03772 0.05578 0.08671 0.11277
21000   0.03772 0.05579 0.08676 0.11281
21050   0.03772 0.05579 0.0868  0.11285
21100   0.03772 0.0558  0.08684 0.11289
21150   0.03772 0.05581 0.08688 0.11294
21200   0.03772 0.05582 0.08692 0.11298
21250   0.03773 0.05583 0.08697 0.11302
21300   0.03773 0.05584 0.08701 0.11307
21350   0.03773 0.05585 0.08705 0.11311
21400   0.03773 0.05585 0.08709 0.11315
21450   0.03773 0.05586 0.08713 0.1132
21500   0.03773 0.05587 0.08718 0.11324
21550   0.03774 0.05588 0.08722 0.11328
21600   0.03774 0.05589 0.08726 0.11333
21650   0.03774 0.0559  0.0873  0.11337
21700   0.03774 0.05591 0.08734 0.11341
21750   0.03774 0.05591 0.08738 0.11346
21800   0.03774 0.05592 0.08742 0.1135
21850   0.03774 0.05593 0.08747 0.11354
21900   0.03775 0.05594 0.08751 0.11359
21950   0.03775 0.05595 0.08755 0.11363
22000   0.03775 0.05596 0.08759 0.11367
22050   0.03775 0.05596 0.08763 0.11372
22100   0.03775 0.05597 0.08767 0.11376
22150   0.03775 0.05598 0.08771 0.1138
22200   0.03775 0.05599 0.08775 0.11385
22250   0.03776 0.056   0.08779 0.11389
22300   0.03776 0.05601 0.08784 0.11393
22350   0.03776 0.05602 0.08788 0.11398
22400   0.03776 0.05602 0.08792 0.11402
22450   0.03776 0.05603 0.08796 0.11406
22500   0.03776 0.05604 0.088   0.11411
22550   0.03777 0.05605 0.08804 0.11415
22600   0.03777 0.05606 0.08808 0.11419
22650   0.03777 0.05607 0.08812 0.11424
22700   0.03777 0.05607 0.08816 0.11428
22750   0.03777 0.05608 0.0882  0.11432
22800   0.03777 0.05609 0.08824 0.11437
22850   0.03777 0.0561  0.08828 0.11441
22900   0.03778 0.05611 0.08832 0.11446
22950   0.03778 0.05612 0.08836 0.1145
23000   0.03778 0.05612 0.0884  0.11454
23050   0.03778 0.05613 0.08844 0.11459
23100   0.03778 0.05614 0.08848 0.11463
23150   0.03778 0.05615 0.08852 0.11467
23200   0.03779 0.05616 0.08856 0.11472
23250   0.03779 0.05617 0.0886  0.11476
23300   0.03779 0.05617 0.08864 0.1148
23350   0.03779 0.05618 0.08868 0.11485
23400   0.03779 0.05619 0.08872 0.11489
23450   0.03779 0.0562  0.08876 0.11494
23500   0.03779 0.05621 0.0888  0.11498
