   fs      Gr    Gr-SV   Gr-DV   Gr-SW
 23550  0.13925 0.13429 0.12752 0.17646
 23600   0.1393 0.13427 0.12752 0.17666
 23650  0.13935 0.13424 0.12752 0.17687
 23700   0.1394 0.13422 0.12751 0.17707
 23750  0.13945 0.13419 0.12751 0.17727
 23800   0.1395 0.13417  0.1275 0.17747
 23850  0.13955 0.13414  0.1275 0.17768
 23900  0.13961 0.13412 0.12749 0.17788
 23950  0.13966 0.13409 0.12749 0.17808
 24000  0.13971 0.13407 0.12748 0.17828
 24050  0.13976 0.13404 0.12748 0.17849
 24100  0.13981 0.13402 0.12748 0.17869
 24150  0.13986  0.134  0.12747 0.17889
 24200  0.13991 0.13397 0.12747 0.17909
 24250  0.13996 0.13395 0.12746 0.17929
 24300    0.14  0.13392 0.12746  0.1795
 24350  0.14005  0.1339 0.12745  0.1797
 24400   0.1401 0.13388 0.12745  0.1799
 24450  0.14015 0.13385 0.12744  0.1801
 24500   0.1402 0.13383 0.12744 0.18031
 24550  0.14025 0.13381 0.12743 0.18051
 24600   0.1403 0.13378 0.12743 0.18071
 24650  0.14035 0.13376 0.12743 0.18091
 24700   0.1404 0.13374 0.12742 0.18111
 24750  0.14045 0.13372 0.12742 0.18132
 24800   0.1405 0.13369 0.12741 0.18152
 24850  0.14055 0.13367 0.12741 0.18172
 24900  0.14059 0.13365  0.1274 0.18192
 24950  0.14064 0.13363  0.1274 0.18212
 25000  0.14069  0.1336 0.12739 0.18232
 25050  0.14074 0.13358 0.12739 0.18253
 25100  0.14079 0.13356 0.12738 0.18273
 25150  0.14084 0.13354 0.12738 0.18293
 25200  0.14088 0.13352 0.12737 0.18313
 25250  0.14093  0.1335 0.12737 0.18333
 25300  0.14098 0.13347 0.12736 0.18354
 25350  0.14103 0.13345 0.12736 0.18374
 25400  0.14108 0.13343 0.12735 0.18394
 25450  0.14112 0.13341 0.12735 0.18414
 25500  0.14117 0.13339 0.12734 0.18434
 25550  0.14122 0.13337 0.12734 0.18454
 25600  0.14127 0.13335 0.12733 0.18475
 25650  0.14131 0.13333 0.12733 0.18495
 25700  0.14136 0.13331 0.12732 0.18515
 25750  0.14141 0.13329 0.12732 0.18535
 25800  0.14146 0.13327 0.12731 0.18555
 25850   0.1415 0.13325 0.12731 0.18575
 25900  0.14155 0.13322  0.1273 0.18595
 25950   0.1416  0.1332  0.1273 0.18616
 26000  0.14164 0.13318 0.12729 0.18636
 26050  0.14169 0.13317 0.12729 0.18656
 26100  0.14174 0.13315 0.12728 0.18676
 26150  0.14178 0.13313 0.12727 0.18696
 26200  0.14183 0.13311 0.12727 0.18716
 26250  0.14188 0.13309 0.12726 0.18736
 26300  0.14192 0.13307 0.12726 0.18756
 26350  0.14197 0.13305 0.12725 0.18777
 26400  0.14202 0.13303 0.12725 0.18797
 26450  0.14206 0.13301 0.12724 0.18817
 26500  0.14211 0.13299 0.12724 0.18837
 26550  0.14215 0.13297 0.12723 0.18857
 26600   0.1422 0.13295 0.12723 0.18877
 26650  0.14225 0.13294 0.12722 0.18897
 26700  0.14229 0.13292 0.12721 0.18917
 26750  0.14234  0.1329 0.12721 0.18937
 26800  0.14238 0.13288  0.1272 0.18958
 26850  0.14243 0.13286  0.1272 0.18978
 26900  0.14247 0.13285 0.12719 0.18998
 26950  0.14252 0.13283 0.12719 0.19018
 27000  0.14256 0.13281 0.12718 0.19038
 27050  0.14261 0.13279 0.12718 0.19058
 27100  0.14265 0.13277 0.12717 0.19078
 27150   0.1427 0.13276 0.12716 0.19098
 27200  0.14274 0.13274 0.12716 0.19118
 27250  0.14279 0.13272 0.12715 0.19138
 27300  0.14283 0.13271 0.12715 0.19158
 27350  0.14288 0.13269 0.12714 0.19178
 27400  0.14292 0.13267 0.12713 0.19199
 27450  0.14297 0.13266 0.12713 0.19219
 27500  0.14301 0.13264 0.12712 0.19239
 27550  0.14305 0.13262 0.12712 0.19259
 27600   0.1431 0.13261 0.12711 0.19279
 27650  0.14314 0.13259  0.1271 0.19299
 27700  0.14319 0.13257  0.1271 0.19319
 27750  0.14323 0.13256 0.12709 0.19339
 27800  0.14327 0.13254 0.12709 0.19359
 27850  0.14332 0.13253 0.12708 0.19379
 27900  0.14336 0.13251 0.12707 0.19399
 27950  0.14341 0.13249 0.12707 0.19419
 28000  0.14345 0.13248 0.12706 0.19439
 28050  0.14349 0.13246 0.12706 0.19459
 28100  0.14354 0.13245 0.12705 0.19479
 28150  0.14358 0.13243 0.12704 0.19499
 28200  0.14362 0.13242 0.12704 0.19519
 28250  0.14367  0.1324 0.12703 0.19539
 28300  0.14371 0.13239 0.12703 0.19559
 28350  0.14375 0.13237 0.12702 0.19579
 28400  0.14379 0.13236 0.12701 0.19599
 28450  0.14384 0.13235 0.12701 0.19619
 28500  0.14388 0.13233  0.127  0.19639
 28550  0.14392 0.13232 0.12699 0.19659
 28600  0.14396  0.1323 0.12699 0.19679
 28650  0.14401 0.13229 0.12698 0.19699
 28700  0.14405 0.13227 0.12697 0.19719
 28750  0.14409 0.13226 0.12697 0.19739
 28800  0.14413 0.13225 0.12696 0.19759
 28850  0.14418 0.13223 0.12695 0.19779
 28900  0.14422 0.13222 0.12695 0.19799
