   fs     GO-O  GO-O-SV GO-O-DV GO-O-SW
 17400  0.09642  0.0886 0.09948 0.11654
 17450  0.09644 0.08862 0.09953 0.11659
 17500  0.09647 0.08865 0.09957 0.11663
 17550  0.09649 0.08867 0.09962 0.11667
 17600  0.09651  0.0887 0.09966 0.11671
 17650  0.09654 0.08872 0.09971 0.11676
 17700  0.09656 0.08874 0.09975  0.1168
 17750  0.09659 0.08877  0.0998 0.11684
 17800  0.09661 0.08879 0.09984 0.11688
 17850  0.09663 0.08882 0.09989 0.11693
 17900  0.09666 0.08884 0.09993 0.11697
 17950  0.09668 0.08886 0.09997 0.11701
 18000   0.0967 0.08889 0.10002 0.11705
 18050  0.09673 0.08891 0.10006  0.1171
 18100  0.09675 0.08893 0.10011 0.11714
 18150  0.09678 0.08896 0.10015 0.11718
 18200   0.0968 0.08898  0.1002 0.11722
 18250  0.09682 0.08901 0.10024 0.11726
 18300  0.09685 0.08903 0.10028 0.11731
 18350  0.09687 0.08905 0.10033 0.11735
 18400  0.09689 0.08908 0.10037 0.11739
 18450  0.09692  0.0891 0.10042 0.11743
 18500  0.09694 0.08913 0.10046 0.11748
 18550  0.09697 0.08915  0.1005 0.11752
 18600  0.09699 0.08917 0.10055 0.11756
 18650  0.09701  0.0892 0.10059  0.1176
 18700  0.09704 0.08922 0.10063 0.11764
 18750  0.09706 0.08925 0.10068 0.11769
 18800  0.09708 0.08927 0.10072 0.11773
 18850  0.09711  0.0893 0.10077 0.11777
 18900  0.09713 0.08932 0.10081 0.11781
 18950  0.09716 0.08934 0.10085 0.11785
 19000  0.09718 0.08937 0.10089  0.1179
 19050   0.0972 0.08939 0.10094 0.11794
 19100  0.09723 0.08942 0.10098 0.11798
 19150  0.09725 0.08944 0.10102 0.11802
 19200  0.09727 0.08947 0.10107 0.11806
 19250   0.0973 0.08949 0.10111  0.1181
 19300  0.09732 0.08951 0.10115 0.11815
 19350  0.09734 0.08954  0.1012 0.11819
 19400  0.09737 0.08956 0.10124 0.11823
 19450  0.09739 0.08959 0.10128 0.11827
 19500  0.09742 0.08961 0.10132 0.11831
 19550  0.09744 0.08964 0.10137 0.11835
 19600  0.09746 0.08966 0.10141  0.1184
 19650  0.09749 0.08969 0.10145 0.11844
 19700  0.09751 0.08971 0.10149 0.11848
 19750  0.09753 0.08973 0.10154 0.11852
 19800  0.09756 0.08976 0.10158 0.11856
 19850  0.09758 0.08978 0.10162  0.1186
 19900   0.0976 0.08981 0.10166 0.11864
 19950  0.09763 0.08983 0.10171 0.11869
 20000  0.09765 0.08986 0.10175 0.11873
 20050  0.09768 0.08988 0.10179 0.11877
 20100   0.0977 0.08991 0.10183 0.11881
 20150  0.09772 0.08993 0.10187 0.11885
 20200  0.09775 0.08996 0.10192 0.11889
 20250  0.09777 0.08998 0.10196 0.11893
 20300  0.09779 0.09001  0.102  0.11897
 20350  0.09782 0.09003 0.10204 0.11902
 20400  0.09784 0.09006 0.10208 0.11906
 20450  0.09787 0.09008 0.10212  0.1191
 20500  0.09789  0.0901 0.10217 0.11914
 20550  0.09791 0.09013 0.10221 0.11918
 20600  0.09794 0.09015 0.10225 0.11922
 20650  0.09796 0.09018 0.10229 0.11926
 20700  0.09798  0.0902 0.10233  0.1193
 20750  0.09801 0.09023 0.10237 0.11934
 20800  0.09803 0.09025 0.10241 0.11939
 20850  0.09805 0.09028 0.10245 0.11943
 20900  0.09808  0.0903  0.1025 0.11947
 20950   0.0981 0.09033 0.10254 0.11951
 21000  0.09813 0.09035 0.10258 0.11955
 21050  0.09815 0.09038 0.10262 0.11959
 21100  0.09817  0.0904 0.10266 0.11963
 21150   0.0982 0.09043  0.1027 0.11967
 21200  0.09822 0.09045 0.10274 0.11971
 21250  0.09824 0.09048 0.10278 0.11975
 21300  0.09827  0.0905 0.10282 0.11979
 21350  0.09829 0.09053 0.10286 0.11983
 21400  0.09831 0.09055  0.1029 0.11987
 21450  0.09834 0.09058 0.10294 0.11992
 21500  0.09836 0.09061 0.10298 0.11996
 21550  0.09839 0.09063 0.10302   0.12
 21600  0.09841 0.09066 0.10307 0.12004
 21650  0.09843 0.09068 0.10311 0.12008
 21700  0.09846 0.09071 0.10315 0.12012
 21750  0.09848 0.09073 0.10319 0.12016
 21800   0.0985 0.09076 0.10323  0.1202
 21850  0.09853 0.09078 0.10327 0.12024
 21900  0.09855 0.09081 0.10331 0.12028
 21950  0.09857 0.09083 0.10335 0.12032
 22000   0.0986 0.09086 0.10339 0.12036
 22050  0.09862 0.09088 0.10343  0.1204
 22100  0.09864 0.09091 0.10346 0.12044
 22150  0.09867 0.09093  0.1035 0.12048
 22200  0.09869 0.09096 0.10354 0.12052
 22250  0.09872 0.09099 0.10358 0.12056
 22300  0.09874 0.09101 0.10362  0.1206
 22350  0.09876 0.09104 0.10366 0.12064
 22400  0.09879 0.09106  0.1037 0.12068
 22450  0.09881 0.09109 0.10374 0.12072
 22500  0.09883 0.09111 0.10378 0.12076
 22550  0.09886 0.09114 0.10382  0.1208
 22600  0.09888 0.09116 0.10386 0.12084
 22650   0.0989 0.09119  0.1039 0.12088
 22700  0.09893 0.09122 0.10394 0.12092
 22750  0.09895 0.09124 0.10398 0.12096
 22800  0.09898 0.09127 0.10401  0.121
 22850   0.099  0.09129 0.10405 0.12104
 22900  0.09902 0.09132 0.10409 0.12108
 22950  0.09905 0.09134 0.10413 0.12112
 23000  0.09907 0.09137 0.10417 0.12116
 23050  0.09909  0.0914 0.10421  0.1212
 23100  0.09912 0.09142 0.10425 0.12124
 23150  0.09914 0.09145 0.10429 0.12128
 23200  0.09916 0.09147 0.10432 0.12132
 23250  0.09919  0.0915 0.10436 0.12136
 23300  0.09921 0.09152  0.1044  0.1214
 23350  0.09923 0.09155 0.10444 0.12144
 23400  0.09926 0.09158 0.10448 0.12148
