   fs    GO-OH  GO-OH-SV GO-OH-DV GO-OH-SW
 17350  0.06843 0.08314 0.07741 0.06396
 17400  0.06846 0.08323 0.07742  0.064
 17450  0.06849 0.08331 0.07744 0.06403
 17500  0.06851  0.0834 0.07746 0.06406
 17550  0.06854 0.08348 0.07748  0.0641
 17600  0.06857 0.08357  0.0775 0.06413
 17650   0.0686 0.08365 0.07751 0.06416
 17700  0.06863 0.08373 0.07753  0.0642
 17750  0.06866 0.08382 0.07755 0.06423
 17800  0.06868  0.0839 0.07757 0.06427
 17850  0.06871 0.08399 0.07758  0.0643
 17900  0.06874 0.08407  0.0776 0.06433
 17950  0.06877 0.08415 0.07762 0.06437
 18000  0.06879 0.08424 0.07764  0.0644
 18050  0.06882 0.08432 0.07766 0.06444
 18100  0.06885  0.0844 0.07767 0.06447
 18150  0.06888 0.08448 0.07769  0.0645
 18200   0.0689 0.08457 0.07771 0.06454
 18250  0.06893 0.08465 0.07773 0.06457
 18300  0.06896 0.08473 0.07775  0.0646
 18350  0.06899 0.08482 0.07776 0.06464
 18400  0.06901  0.0849 0.07778 0.06467
 18450  0.06904 0.08498  0.0778  0.0647
 18500  0.06907 0.08506 0.07782 0.06474
 18550   0.0691 0.08515 0.07783 0.06477
 18600  0.06912 0.08523 0.07785  0.0648
 18650  0.06915 0.08531 0.07787 0.06484
 18700  0.06918 0.08539 0.07789 0.06487
 18750   0.0692 0.08547 0.07791  0.0649
 18800  0.06923 0.08555 0.07792 0.06494
 18850  0.06926 0.08564 0.07794 0.06497
 18900  0.06929 0.08572 0.07796  0.065
 18950  0.06931  0.0858 0.07798 0.06504
 19000  0.06934 0.08588  0.078  0.06507
 19050  0.06937 0.08596 0.07801  0.0651
 19100  0.06939 0.08604 0.07803 0.06514
 19150  0.06942 0.08612 0.07805 0.06517
 19200  0.06945  0.0862 0.07807  0.0652
 19250  0.06947 0.08628 0.07809 0.06524
 19300   0.0695 0.08636  0.0781 0.06527
 19350  0.06953 0.08644 0.07812  0.0653
 19400  0.06955 0.08653 0.07814 0.06533
 19450  0.06958 0.08661 0.07816 0.06537
 19500  0.06961 0.08669 0.07818  0.0654
 19550  0.06963 0.08677 0.07819 0.06543
 19600  0.06966 0.08685 0.07821 0.06547
 19650  0.06968 0.08693 0.07823  0.0655
 19700  0.06971 0.08701 0.07825 0.06553
 19750  0.06974 0.08708 0.07827 0.06556
 19800  0.06976 0.08716 0.07828  0.0656
 19850  0.06979 0.08724  0.0783 0.06563
 19900  0.06982 0.08732 0.07832 0.06566
 19950  0.06984  0.0874 0.07834  0.0657
 20000  0.06987 0.08748 0.07836 0.06573
 20050  0.06989 0.08756 0.07837 0.06576
 20100  0.06992 0.08764 0.07839 0.06579
 20150  0.06994 0.08772 0.07841 0.06583
 20200  0.06997  0.0878 0.07843 0.06586
 20250    0.07  0.08788 0.07845 0.06589
 20300  0.07002 0.08795 0.07846 0.06592
 20350  0.07005 0.08803 0.07848 0.06596
 20400  0.07007 0.08811  0.0785 0.06599
 20450   0.0701 0.08819 0.07852 0.06602
 20500  0.07012 0.08827 0.07854 0.06605
 20550  0.07015 0.08834 0.07856 0.06608
 20600  0.07018 0.08842 0.07857 0.06612
 20650   0.0702  0.0885 0.07859 0.06615
 20700  0.07023 0.08858 0.07861 0.06618
 20750  0.07025 0.08866 0.07863 0.06621
 20800  0.07028 0.08873 0.07865 0.06625
 20850   0.0703 0.08881 0.07866 0.06628
 20900  0.07033 0.08889 0.07868 0.06631
 20950  0.07035 0.08896  0.0787 0.06634
 21000  0.07038 0.08904 0.07872 0.06637
 21050   0.0704 0.08912 0.07874 0.06641
 21100  0.07043  0.0892 0.07875 0.06644
 21150  0.07045 0.08927 0.07877 0.06647
 21200  0.07048 0.08935 0.07879  0.0665
 21250   0.0705 0.08943 0.07881 0.06653
 21300  0.07053  0.0895 0.07883 0.06657
 21350  0.07055 0.08958 0.07885  0.0666
 21400  0.07058 0.08965 0.07886 0.06663
 21450   0.0706 0.08973 0.07888 0.06666
 21500  0.07063 0.08981  0.0789 0.06669
 21550  0.07065 0.08988 0.07892 0.06673
 21600  0.07068 0.08996 0.07894 0.06676
 21650   0.0707 0.09003 0.07895 0.06679
 21700  0.07073 0.09011 0.07897 0.06682
 21750  0.07075 0.09018 0.07899 0.06685
 21800  0.07077 0.09026 0.07901 0.06688
 21850   0.0708 0.09033 0.07903 0.06692
 21900  0.07082 0.09041 0.07905 0.06695
 21950  0.07085 0.09048 0.07906 0.06698
 22000  0.07087 0.09056 0.07908 0.06701
 22050   0.0709 0.09063  0.0791 0.06704
 22100  0.07092 0.09071 0.07912 0.06707
 22150  0.07094 0.09078 0.07914  0.0671
 22200  0.07097 0.09086 0.07916 0.06714
 22250  0.07099 0.09093 0.07917 0.06717
 22300  0.07102 0.09101 0.07919  0.0672
 22350  0.07104 0.09108 0.07921 0.06723
 22400  0.07106 0.09116 0.07923 0.06726
 22450  0.07109 0.09123 0.07925 0.06729
 22500  0.07111  0.0913 0.07926 0.06732
 22550  0.07114 0.09138 0.07928 0.06736
 22600  0.07116 0.09145  0.0793 0.06739
 22650  0.07118 0.09152 0.07932 0.06742
 22700  0.07121  0.0916 0.07934 0.06745
 22750  0.07123 0.09167 0.07936 0.06748
 22800  0.07125 0.09174 0.07937 0.06751
 22850  0.07128 0.09182 0.07939 0.06754
 22900   0.0713 0.09189 0.07941 0.06757
 22950  0.07132 0.09196 0.07943  0.0676
 23000  0.07135 0.09204 0.07945 0.06764
 23050  0.07137 0.09211 0.07947 0.06767
 23100  0.07139 0.09218 0.07948  0.0677
 23150  0.07142 0.09225  0.0795 0.06773
