   fs      Gr     GO-O   GO-OH  GO-COOH
 12900  0.12652 0.09428 0.06575 0.05433
 12950  0.12659  0.0943 0.06578 0.05434
 13000  0.12666 0.09433 0.06581 0.05435
 13050  0.12673 0.09435 0.06584 0.05436
 13100  0.12679 0.09437 0.06587 0.05436
 13150  0.12686  0.0944 0.06591 0.05437
 13200  0.12693 0.09442 0.06594 0.05438
 13250   0.127  0.09445 0.06597 0.05439
 13300  0.12707 0.09447  0.066   0.0544
 13350  0.12713 0.09449 0.06603 0.05441
 13400   0.1272 0.09452 0.06606 0.05442
 13450  0.12727 0.09454  0.0661 0.05443
 13500  0.12734 0.09456 0.06613 0.05444
 13550  0.12741 0.09459 0.06616 0.05445
 13600  0.12747 0.09461 0.06619 0.05446
 13650  0.12754 0.09464 0.06622 0.05447
 13700  0.12761 0.09466 0.06625 0.05448
 13750  0.12768 0.09468 0.06629 0.05449
 13800  0.12774 0.09471 0.06632  0.0545
 13850  0.12781 0.09473 0.06635 0.05451
 13900  0.12788 0.09476 0.06638 0.05451
 13950  0.12794 0.09478 0.06641 0.05452
 14000  0.12801  0.0948 0.06644 0.05453
 14050  0.12808 0.09483 0.06647 0.05454
 14100  0.12814 0.09485  0.0665 0.05455
 14150  0.12821 0.09487 0.06653 0.05456
 14200  0.12828  0.0949 0.06657 0.05457
 14250  0.12834 0.09492  0.0666 0.05458
 14300  0.12841 0.09495 0.06663 0.05459
 14350  0.12848 0.09497 0.06666  0.0546
 14400  0.12854 0.09499 0.06669 0.05461
 14450  0.12861 0.09502 0.06672 0.05462
 14500  0.12867 0.09504 0.06675 0.05463
 14550  0.12874 0.09507 0.06678 0.05464
 14600  0.12881 0.09509 0.06681 0.05464
 14650  0.12887 0.09511 0.06684 0.05465
 14700  0.12894 0.09514 0.06687 0.05466
 14750   0.129  0.09516  0.0669 0.05467
 14800  0.12907 0.09518 0.06693 0.05468
 14850  0.12913 0.09521 0.06696 0.05469
 14900   0.1292 0.09523 0.06699  0.0547
 14950  0.12927 0.09526 0.06702 0.05471
 15000  0.12933 0.09528 0.06706 0.05472
 15050   0.1294  0.0953 0.06709 0.05473
 15100  0.12946 0.09533 0.06712 0.05474
 15150  0.12953 0.09535 0.06715 0.05475
 15200  0.12959 0.09537 0.06718 0.05476
 15250  0.12966  0.0954 0.06721 0.05476
 15300  0.12972 0.09542 0.06724 0.05477
 15350  0.12978 0.09545 0.06727 0.05478
 15400  0.12985 0.09547  0.0673 0.05479
 15450  0.12991 0.09549 0.06733  0.0548
 15500  0.12998 0.09552 0.06736 0.05481
 15550  0.13004 0.09554 0.06739 0.05482
 15600  0.13011 0.09556 0.06742 0.05483
 15650  0.13017 0.09559 0.06745 0.05484
 15700  0.13023 0.09561 0.06747 0.05485
 15750   0.1303 0.09564  0.0675 0.05486
 15800  0.13036 0.09566 0.06753 0.05487
 15850  0.13043 0.09568 0.06756 0.05487
 15900  0.13049 0.09571 0.06759 0.05488
 15950  0.13055 0.09573 0.06762 0.05489
 16000  0.13062 0.09576 0.06765  0.0549
 16050  0.13068 0.09578 0.06768 0.05491
 16100  0.13074  0.0958 0.06771 0.05492
 16150  0.13081 0.09583 0.06774 0.05493
 16200  0.13087 0.09585 0.06777 0.05494
 16250  0.13093 0.09587  0.0678 0.05495
 16300   0.131   0.0959 0.06783 0.05496
 16350  0.13106 0.09592 0.06786 0.05497
 16400  0.13112 0.09595 0.06789 0.05497
 16450  0.13118 0.09597 0.06791 0.05498
 16500  0.13125 0.09599 0.06794 0.05499
 16550  0.13131 0.09602 0.06797  0.055
 16600  0.13137 0.09604  0.068  0.05501
 16650  0.13143 0.09606 0.06803 0.05502
 16700   0.1315 0.09609 0.06806 0.05503
 16750  0.13156 0.09611 0.06809 0.05504
 16800  0.13162 0.09614 0.06812 0.05505
 16850  0.13168 0.09616 0.06815 0.05506
 16900  0.13175 0.09618 0.06817 0.05506
 16950  0.13181 0.09621  0.0682 0.05507
 17000  0.13187 0.09623 0.06823 0.05508
 17050  0.13193 0.09625 0.06826 0.05509
 17100  0.13199 0.09628 0.06829  0.0551
 17150  0.13205  0.0963 0.06832 0.05511
 17200  0.13212 0.09633 0.06835 0.05512
 17250  0.13218 0.09635 0.06837 0.05513
 17300  0.13224 0.09637  0.0684 0.05514
 17350   0.1323  0.0964 0.06843 0.05515
 17400  0.13236 0.09642 0.06846 0.05515
 17450  0.13242 0.09644 0.06849 0.05516
 17500  0.13248 0.09647 0.06851 0.05517
